,age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
4085,29,1983,winner of the 1986 Prix de PsychÌ© and Prix Vermeille,June,2012,French-trained Thoroughbred racehorse,Darara,Irish-bred,15.0
4086,95,1917,complications from amyotrophic lateral sclerosis,June,2012,chemist and Nobel laureate,William Standish Knowles,American,8.0
4087,89,1923,complications of a fall,June,2012,AAFC football player,Bob Chappuis,American,56.0
4088,88,1924,ruptured abdominal aortic aneurysm,June,2012,SANFL footballer,Bob Hank,Australian,5.0
4089,48,1964,cervical cancer,June,2012,comedian and actress,Yvette Wilson,American,5.0
4090,77,1935,heart attack,June,2012,politician and economist Governor of Guerrero,Israel Nogueda Otero,Mexican,4.0
4091,65,1947,heart attack,June,2012,public address announcer,Howie Chizek,American,15.0
4092,80,1932,cardiogenic shock,June,2012,financial journalist,Dan Dorfman,American,14.0
4093,65,1947,suspected suicide by gunshot,June,2012,army officer,Sâawomir Petelicki,Polish,3.0
4094,65,1947,prostate cancer,June,2012,actor and singer,Brian Hibbard,Welsh,6.0
4095,68,1944,cancer,June,2012,basketball player,Dennis Hamilton,American,2.0
4096,70,1942,cardiopulmonary disease,June,2012,public radio announcer,Jim Packard,American,6.0
4097,82,1930,prostate cancer,June,2012,comic actor,Victor Spinetti,Welsh,16.0
4098,73,1939,Parkinson's disease,June,2012,politician Michigan State Senator,William Van Regenmorter,American,27.0
4099,69,1943,complications from dementia,June,2012,football player,Ralph Wenzel,American,2.0
4100,97,1915,co-founder of Kallmann McKinnell & Wood,June,2012,American architect,Gerhard Kallmann,German-born,1.0
4101,71,1941,brain tumor,June,2012,police commissioner of the Philadelphia Police Department,Kevin M. Tucker,American,5.0
4102,91,1921,widow of former Vice President Spiro Agnew,June,2012,Second Lady,Judy Agnew,American,6.0
4103,64,1948,acute myeloid leukemia,June,2012,professor President of Fairleigh Dickinson University,J. Michael Adams,American,6.0
4104,96,1916,Living National Treasure,June,2012,lacquer artist,Shgyo Îba,Japanese,2.0
4105,71,1941,cancer,June,2012,marketing expert,Barry Becher,American,2.0
4106,72,1940,lung cancer,June,2012,actor,Juan Luis Galiardo,Spanish,3.0
4107,86,1926,cancer,June,2012,Olympic silver medal-winning,Rolly Tasker,Australian,7.0
4108,72,1940,cancer,June,2012,politician Principal Speaker of the Green Party,Margaret Wright,British,5.0
4109,73,1939,cancer,June,2012,politician MP for Hyndburn,Ken Hargreaves,British,3.0
4110,50,1962,pancreatic cancer,June,2012,baseball player,Darrel Akerfelds,American,5.0
4111,72,1940,cancer,June,2012,basketball player,Ted Luckenbill,American,1.0
4112,31,1981,traffic collision,June,2012,Olympic,Daniel Batman,Australian,4.0
4113,71,1941,heart failure,June,2012,Olympic,Juan Carlos Dyrzka,Argentine,2.0
4114,71,1941,pneumonia,June,2012,screenwriter and film director,Nora Ephron,American,25.0
4115,68,1944,cancer,June,2012,actor,Don Grady,American,9.0
4116,74,1938,cancer,June,2012,politician Minister for Macedonia-Thrace,Konstantinos Triaridis,Greek,2.0
4117,83,1929,heart attack,June,2012,politician Mayor of Boise Idaho,Richard Eardley,American,3.0
4118,96,1916,Alzheimer's disease,June,2012,politician Prime Minister,Yitzhak Shamir,Israeli,56.0
4119,88,1924,lymphoma,July,2012,priest and educator President of the College of the Holy Cross,John E. Brooks,American,4.0
4120,72,1940,prostate cancer,July,2012,football player,Ben Davidson,American,16.0
4121,75,1937,esophageal cancer,July,2012,volleyball player and coach Olympic bronze medalist,Tsutomu Koyama,Japanese,1.0
4122,67,1945,throat cancer,July,2012,production designer and art director,Ben Van Os,Dutch,3.0
4123,87,1925,diabetes,July,2012,general and political prisoner Deputy Prime Minister and Defense Minister of South Vietnam,Nguy‡ÈÉn H‡Èøu CÌ_,Vietnamese,33.0
4124,86,1926,heart attack,July,2012,actor,Andy Griffith,American,70.0
4125,77,1935,natural causes,July,2012,politician and lawyer U.S. Representative from Louisiana,Richard Alvin Tonry,American,5.0
4126,83,1929,respiratory failure,July,2012,politician and educator Mayor of Winnipeg,Bill Norrie,Canadian,5.0
4127,76,1936,lung cancer,July,2012,poet and politician Governor of ParaÌ_ba,Ronaldo Cunha Lima,Brazilian,3.0
4128,57,1955,drowned,July,2012,rock musician,Dennis Flemion,American,6.0
4129,95,1917,renal failure,July,2012,actor,Ernest Borgnine,American,31.0
4130,53,1959,heart attack,July,2012,politician Member of the House of Representatives,Gyang Dalyop Datong,Nigerian,9.0
4131,58,1954,cancer,July,2012,costume designer,Martin Pakledinaz,American,5.0
4132,65,1947,cancer,July,2012,basketball player,Kenny Heitz,American,8.0
4133,78,1934,prostate cancer,July,2012,Islands politician Prime Minister,Sir Terepai Maoate,Cook,17.0
4134,29,1983,winner of the 1994 Grand National,July,2012,racehorse,Miinnehoma,Irish-bred,4.0
4135,91,1921,heart failure,July,2012,Roman Catholic prelate Cardinal Protopriest Archbishop of Rio de Janeiro,EugÌ»nio Sales,Brazilian,1.0
4136,95,1917,multiple organ failure,July,2012,film actress,Isuzu Yamada,Japanese,20.0
4137,65,1947,plane crash,July,2012,politician member of the Alaska House of Representatives,Cheryll Heinze,American,2.0
4138,50,1962,head injuries,July,2012,politician member of the Kentucky House of Representatives,Dewayne Bunch,American,8.0
4139,82,1930,cancer,July,2012,baseball player,Art Ceccarelli,American,4.0
4140,74,1938,complications of a stroke,July,2012,football player,Joe McBride,Scottish,7.0
4141,87,1925,natural causes,July,2012,writer,Donald J. Sobol,American,9.0
4142,65,1947,heart attack,July,2012,beauty queen and activist Miss Philippines‰ÛÒWorld,Maita Gomez,Filipino,6.0
4143,91,1921,complications after heart attack,July,2012,American author,Else Holmelund Minarik,Danish-born,7.0
4144,65,1947,heart failure,July,2012,basketball player,Warren Jabali,American,4.0
4145,71,1941,heart attack,July,2012,politician Olympic gold medal-winning,Jerzy Kulej,Polish,6.0
4146,36,1976,heart failure,July,2012,actor,Sage Stallone,American,14.0
4147,77,1935,heart attack,July,2012,film producer,Richard D. Zanuck,American,17.0
4148,91,1921,natural causes,July,2012,television writer,Don Brinkley,American,1.0
4149,84,1928,natural causes,July,2012,football player and coach,Frank R. Burns,American,4.0
4150,56,1956,ovarian cancer,July,2012,film editor,Avis Hope Eckelberry,American,2.0
4151,75,1937,cancer,July,2012,football player,King Hill,American,3.0
4152,83,1929,cancer,July,2012,cross-country skier Olympic gold medalist,Sixten Jernberg,Swedish,8.0
4153,90,1922,Alzheimer's disease,July,2012,television writer and director,William Asher,American,11.0
4154,74,1938,brain cancer,July,2012,bass guitarist,Bob Babbitt,American,5.0
4155,79,1933,complications after a bicycle accident,July,2012,writer,Stephen Covey,American,18.0
4156,71,1941,pulmonary embolism,July,2012,composer and musician,Jon Lord,English,39.0
4157,99,1913,natural causes,July,2012,businessman President of Panasonic,Masaharu Matsushita,Japanese,5.0
4158,92,1920,complications after a stroke,July,2012,country music singer,Kitty Wells,American,29.0
4159,67,1945,stomach cancer,July,2012,actor,Morgan Paull,American,1.0
4160,76,1936,prostate cancer,July,2012,journalist and newspaper columnist,William Raspberry,American,11.0
4161,64,1948,cancer,July,2012,politician member of the North Carolina House of Representatives,William L. Wainwright,American,6.0
4162,83,1929,stroke,July,2012,politician Minister of Foreign Affairs,Jean FranÌ¤ois-Poncet,French,8.0
4163,65,1947,bomb blast,July,2012,politician Minister of Defense,Dawoud Rajiha,Syrian,13.0
4164,77,1935,bomb blast,July,2012,politician Minister of Defense,Hasan Turkmani,Syrian,21.0
4165,59,1953,throat and neck cancer,July,2012,comedian and television writer,Tom Davis,American,5.0
4166,80,1932,complications from an appendectomy,July,2012,politician Member of the Pennsylvania House of Representatives,Anthony Melio,American,1.0
4167,76,1936,heart attack,July,2012,general and politician Vice President,Omar Suleiman,Egyptian,63.0
4168,81,1931,complications from a fall,July,2012,Olympic silver medal-winning,Jack Davis,American,6.0
4169,73,1939,cancer,July,2012,actor and stuntman,Tony Epper,American,1.0
4170,70,1942,after long illness,July,2012,actor,Simon Ward,English,7.0
4171,68,1944,pancreatic cancer,July,2012,actress,Angharad Rees,Welsh,17.0
4172,82,1930,complications from Alzheimer's disease,July,2012,footballer,Eric Bell,English,3.0
4173,87,1925,natural causes,July,2012,film director and screenwriter,Frank Pierson,American,5.0
4174,84,1928,Commonwealth Games gold medalist,July,2012,Olympic,John Treloar,Australian,8.0
4175,75,1937,cerebral hemorrhage,July,2012,television presenter and director,JosÌ© Luis Uribarri,Spanish,3.0
4176,75,1937,lung cancer,July,2012,actor,Chad Everett,American,27.0
4177,74,1938,lung cancer,July,2012,actor,Sherman Hemsley,American,19.0
4178,83,1929,respiratory failure,July,2012,comic book writer and artist,Themo Lobos,Chilean,11.0
4179,8,2004,myocardial infarction,July,2012,racehorse winner of the Duke of York Stakes,Prime Defender,British,5.0
4180,28,1984,traffic collision,July,2012,footballer,Thanasis Tribonias,Greek,3.0
4181,63,1949,stroke,July,2012,antiques expert,David Barby,British,5.0
4182,62,1950,throat cancer,July,2012,CFL coach and executive,Greg Mohns,American,3.0
4183,69,1943,liver cancer,July,2012,actress,Lupe Ontiveros,American,14.0
4184,53,1959,plane crash,July,2012,Olympic,Pat Porter,American,10.0
4185,36,1976,heart attack,July,2012,basketball player,Neil Reed,American,8.0
4186,62,1950,cancer,July,2012,actress,Mary Tamm,English,27.0
4187,85,1927,heart failure,July,2012,Naval officer and cabinet member Chief of Naval Operations,James D. Watkins,American,8.0
4188,87,1925,natural causes,July,2012,actor,Norman Alden,American,5.0
4189,95,1917,natural causes,July,2012,actor,R. G. Armstrong,American,8.0
4190,62,1950,liver cancer,July,2012,singer,Darryl Cotton,Australian,26.0
4191,68,1944,prostate cancer,July,2012,actor,Geoffrey Hughes,English,8.0
4192,85,1927,complications from pneumonia,July,2012,actor,John P. Finnegan,American,2.0
4193,91,1921,documentary film director,July,2012,writer photographer,Chris Marker,French,26.0
4194,72,1940,following a short illness,July,2012,novelist,Maeve Binchy,Irish,78.0
4195,55,1957,suicide by defenestration,July,2012,songwriter and composer,Lucio Quarantotto,Italian,1.0
4196,86,1926,pneumonia,July,2012,playwright novelist,Gore Vidal,American,136.0
4197,86,1926,stomach cancer,August,2012,actress,Keiko Tsushima,Japanese,2.0
4198,64,1948,cancer,August,2012,documentary filmmaker,Magnus Isacsson,Canadian,11.0
4199,89,1923,cancer,August,2012,children's author,Jean Merrill,American,4.0
4200,87,1925,complications from COPD and lung cancer,August,2012,Hall of Fame basketball player,Arnie Risen,American,2.0
4201,51,1961,traffic collision,August,2012,author,Roland Charles Wagner,French,2.0
4202,68,1944,EGOT winner,August,2012,composer,Marvin Hamlisch,American,52.0
4203,58,1954,respiratory arrest,August,2012,playwright,Mark O'Donnell,American,4.0
4204,59,1953,drowning,August,2012,basketball player,Dan Roundfield,American,3.0
4205,21,1991,euthanized,August,2012,French-trained Thoroughbred racehorse winner of the Prix de l'Arc de Triomphe,Carnegie,British-bred,15.0
4206,77,1935,lung disease,August,2012,record producer,Carl Davis,American,3.0
4207,83,1929,cancer,August,2012,film director,Mel Stuart,American,2.0
4208,82,1930,chronic obstructive pulmonary disease,August,2012,Mexican film and telenovela actress,Lucy Gallardo,Argentine-born,2.0
4209,84,1928,heart attack,August,2012,actor,Henning Moritzen,Danish,1.0
4210,73,1939,pancreatic cancer,August,2012,defense attorney and politician Mayor of Columbus Georgia,Frank Martin,American,4.0
4211,54,1958,benign brain tumors,August,2012,journalist and television anchor,Kathi Goertzen,American,12.0
4212,88,1924,natural causes,August,2012,pro-life activist and lawyer,Nellie Gray,American,4.0
4213,37,1975,adenoid cystic carcinoma,August,2012,politician MP,Johnny Munkhammar,Swedish,3.0
4214,95,1917,heart failure,August,2012,musical theatre actress,Joan Roberts,American,10.0
4215,89,1923,publisher and academic,August,2012,historian writer,Maja BoÁkovi€à-Stulli,Croatian,9.0
4216,42,1970,apparent heart attack,August,2012,politician chairman of the opposition Free National Movement,Charles Maynard,Bahamian,4.0
4217,63,1949,apparent heart attack,August,2012,actor,Ron Palillo,American,25.0
4218,92,1920,Alzheimer's disease,August,2012,actress,Phyllis Thaxter,American,10.0
4219,56,1956,apparent suicide by gunshot,August,2012,musician,Bob Birch,American,6.0
4220,61,1951,cancer,August,2012,chief executive officer,Richard B. Brewer,American,4.0
4221,65,1947,lung cancer,August,2012,cinematographer,Ashok Mehta,Indian,5.0
4222,46,1966,cancer,August,2012,politician MP for Stockholm County,Carina Moberg,Swedish,6.0
4223,61,1951,heart attack,August,2012,Islands politician,Albert (Peto) Nicholas,Cook,4.0
4224,75,1937,after short illness,August,2012,publisher chairman of the Associated Press,Burl Osborne,American,1.0
4225,21,1991,traffic collision,August,2012,rugby player,Mitchell Todd,British,4.0
4226,69,1943,heart attack,August,2012,politician member of the North Carolina House of Representatives,Larry R. Brown,American,9.0
4227,88,1924,heart failure,August,2012,actor,William Windom,American,3.0
4228,29,1983,opiate intoxication,August,2012,reality TV star,Joey Kovar,American,6.0
4229,82,1930,heart attack,August,2012,politician Senator,John Lynch-Staunton,Canadian,3.0
4230,67,1945,complications from a heart attack,August,2012,entrepreneur,Patrick Ricard,French,3.0
4231,73,1939,Guillain‰ÛÒBarrÌ© syndrome,August,2012,singer,Scott McKenzie,American,14.0
4232,54,1958,plane crash,August,2012,politician Mayor of Naga City,Jesse Robredo,Filipino,26.0
4233,21,1991,drowning,August,2012,runner,Samia Yusuf Omar,Somali,13.0
4234,68,1944,suicide by jumping,August,2012,film director,Tony Scott,British,66.0
4235,95,1917,natural causes,August,2012,comedian and actress,Phyllis Diller,American,59.0
4236,96,1916,natural causes,August,2012,politician Prime Minister,Dom Mintoff,Maltese,15.0
4237,57,1955,liver cancer,August,2012,politician President,Meles Zenawi,Ethiopian,121.0
4238,91,1921,cancer,August,2012,American animator,Tissa David,Hungarian-born,6.0
4239,87,1925,natural causes,August,2012,politician member of the Illinois Senate,John Davidson,American,5.0
4240,50,1962,traffic collision,August,2012,rugby league player,Gary Mara,Australian,4.0
4241,86,1926,complications of a fall,August,2012,ice hockey player,Don Raleigh,Canadian,1.0
4242,85,1927,heart attack,August,2012,politician member of the Maryland Senate,J. Frank Raley,American,126.0
4243,80,1932,brain tumor,August,2012,politician Leader of the Socialist Party,Guy Spitaels,Belgian,3.0
4244,74,1938,complications from a stroke,August,2012,Brazilian Roman Catholic prelate Bishop of MarabÌÁ,JosÌ© Foralosso,Italian-born,1.0
4245,88,1924,pneumonia,August,2012,Roman Catholic cardinal Bishop of Kaohsiung,Paul Shan Kuo-hsi,Taiwanese,2.0
4246,79,1933,cancer,August,2012,politician MP for Butere,Martin Shikuku,Kenyan,3.0
4247,37,1975,cardiac arrest,August,2012,politician Member of the European Parliament,Edith Mastenbroek,Dutch,2.0
4248,54,1958,traffic collision,August,2012,AFL football player,Merv Neagle,Australian,8.0
4249,78,1934,prostate cancer and COPD,August,2012,puppeteer,Jerry Nelson,American,8.0
4250,91,1921,pneumonia,August,2012,Hall of Fame football player,Steve Van Buren,American,87.0
4251,80,1932,cancer,August,2012,actor,Steve Franken,American,9.0
4252,69,1943,heart failure and pneumonia,August,2012,actress,Claire Malis,American,3.0
4253,70,1942,respiratory ailment,August,2012,tribal leader Chairman of the Shakopee Mdewakanton Sioux Community,Stanley Crooks,American,5.0
4254,86,1926,cancer,August,2012,Roman Catholic prelate Bishop of Piracicaba,Eduardo Koaik,Brazilian,1.0
4255,81,1931,complications of Parkinson's disease,August,2012,journalist and photographer,Malcolm Browne,American,7.0
4256,67,1945,heart failure,August,2012,Roman Catholic prelate Bishop of Manzini,Louis Ncamiso Ndlovu,Swazi,1.0
4257,91,1921,pneumonia,August,2012,clown and television host,Russell Scott,American,7.0
4258,46,1966,heart attack,August,2012,football player and commentator,Tao Wei,Chinese,3.0
4259,71,1941,brain aneurysm,August,2012,American Episcopal prelate Bishop of Milwaukee,Roger J. White,British-born,1.0
4260,55,1957,complications of high blood pressure,August,2012,Roman Catholic prelate Bishop of Mpanda,William Pascal Kikoti,Tanzanian,1.0
4261,84,1928,cardiac arrest,August,2012,politician MLA in Kerala,K. Pankajakshan,Indian,2.0
4262,59,1953,cancer,August,2012,academic and author,Nicholas Goodrick-Clarke,British,3.0
4263,84,1928,inventor of Festivus,August,2012,author and editor,Daniel O'Keefe,American,8.0
4264,43,1969,suspected suicide by hanging,August,2012,volleyball coach,Sergei Ovchinnikov,Russian,5.0
4265,3,2009,euthanized,August,2012,French-trained Thoroughbred racehorse winner of the Prix de Diane,Valyra,British-bred,7.0
4266,89,1923,complications from Alzheimer's disease,August,2012,singer variety performer and TV game show host,Max Bygraves,British,20.0
4267,69,1943,prostate cancer,August,2012,football player,Tom Keating,American,11.0
4268,84,1928,heart disease,August,2012,dance critic,Alan M. Kriegsman,American,5.0
4269,12,2000,cervical fracture,August,2012,British-trained Thoroughbred racehorse winner of the Epsom Derby,Kris Kin,American-bred,34.0
4270,85,1927,Parkinson's disease,August,2012,Roman Catholic prelate Cardinal Archbishop of Milan,Carlo Maria Martini,Italian,30.0
4271,74,1938,heart attack,August,2012,politician MLA for Surat East,Kashiram Rana,Indian,4.0
4272,30,1982,euthanized,August,2012,American Thoroughbred racehorse winner of the Breeders' Cup Turf,Theatrical,Irish-bred,5.0
4273,91,1921,complications from a stroke,September,2012,lyricist,Hal David,American,6.0
4274,85,1927,cardiac arrest,September,2012,politician MLA in Himachal Pradesh,Sat Mahajan,Indian,2.0
4275,75,1937,brain tumor,September,2012,businessman and politician Prime Minister,Smarck Michel,Haitian,3.0
4276,24,1988,suspected drug overdose,September,2012,politician MP for Dalarna County,William PetzÌ_ll,Swedish,4.0
4277,86,1926,cancer,September,2012,civil engineer and politician Mayor of White Plains New York,Sy Schulman,American,4.0
4278,46,1966,heart attack,September,2012,musician,Mark Abrahamian,American,2.0
4279,80,1932,heart disease,September,2012,photographer,Jack Boucher,American,3.0
4280,82,1930,cancer,September,2012,broadcaster,Bob Johnstone,Canadian,4.0
4281,85,1927,cancer,September,2012,baseball player,Bob DiPietro,American,1.0
4282,54,1958,heart attack,September,2012,actor,Michael Clarke Duncan,American,24.0
4283,73,1939,lung cancer,September,2012,politician Mayor of Malabon,Tito Oreta,Filipino,2.0
4284,73,1939,Parkinson's disease,September,2012,politician U.S. Representative from North Carolina,Charlie Rose,American,2.0
4285,88,1924,complications from pneumonia,September,2012,football player,George Savitsky,American,1.0
4286,26,1986,heart attack,September,2012,footballer,Ediz Bahtiyaro€Ùlu,Turkish,2.0
4287,79,1933,first Aboriginal member of the Queensland Parliament,September,2012,politician Queensland MLA for Cook,Eric Deeral,Australian,9.0
4288,71,1941,cancer,September,2012,film producer,Jake Eberts,Canadian,7.0
4289,6,2006,euthanized,September,2012,Thoroughbred racehorse winner of the Breeders' Cup Juvenile Fillies Turf,Maram,American,3.0
4290,87,1925,heart failure,September,2012,businessman owner of the Baltimore Ravens,Art Modell,American,17.0
4291,79,1933,cancer,September,2012,Olympic bronze medal-winning,Leszek Drogosz,Polish,3.0
4292,53,1959,heart disease,September,2012,television writer,Mike Martineau,American,1.0
4293,47,1965,blood clot,September,2012,politician Minister of Agriculture,M€rti Á Roze,Latvian,1.0
4294,22,1990,fall from a building,September,2012,AFL footballer,John McCarthy,Australian,12.0
4295,22,1990,euthanized,September,2012,Thoroughbred racehorse winner of the Aral-Pokal,Monsun,German,18.0
4296,74,1938,heart attack,September,2012,jurist and politician member of the House of Representatives,Robert Gammage,American,3.0
4297,91,1921,pneumonia,September,2012,baseball player,Tom Saffell,American,11.0
4298,74,1938,cancer,September,2012,actor,Jon Finlayson,Australian,5.0
4299,52,1960,smoke inhalation during U,September,2012,diplomat U.S. Ambassador to Libya,J. Christopher Stevens,American,26.0
4300,76,1936,liver cancer,September,2012,drummer National Heritage Fellowship recipient,Obo Addy,Ghanaian,2.0
4301,53,1959,cancer,September,2012,sex worker rights activist,Robyn Few,American,9.0
4302,84,1928,natural causes,September,2012,politician Premier of Alberta,Peter Lougheed,Canadian,24.0
4303,85,1927,neurological disorder,September,2012,jurist Chief Justice,Ranganath Misra,Indian,3.0
4304,48,1964,heart attack,September,2012,actor,Stephen Dunham,American,5.0
4305,71,1941,cancer,September,2012,politician last mayor of LaSalle Quebec Canada,Michel Leduc,Canadian,3.0
4306,63,1949,cancer,September,2012,actor,Winston Rekert,Canadian,5.0
4307,87,1925,lymphoma,September,2012,actor,Pierre Mondy,French,4.0
4308,22,1990,slurry tank gas poisoning,September,2012,rugby union player,Nevin Spence,Irish,12.0
4309,81,1931,heart attack,September,2012,nationalist Sarsanghchalak of the RSS,K. S. Sudarshan,Indian,8.0
4310,84,1928,cancer,September,2012,animated film producer,John Coates,British,4.0
4311,84,1928,cancer,September,2012,actor,John Ingle,American,6.0
4312,60,1952,acute heart failure,September,2012,diplomat Ambassador-designate to China,Shinichi Nishimiya,Japanese,2.0
4313,84,1928,cancer,September,2012,politician MP for Leeds‰ÛÓGrenville,Jim Jordan,Canadian,3.0
4314,84,1928,wife of Kenneth Kaunda,September,2012,First Lady,Betty Kaunda,Zambian,8.0
4315,77,1935,complications from strokes,September,2012,baseball player,Jack Kralick,American,11.0
4316,85,1927,pneumonia,September,2012,politician MP for Southampton West,Ralph Marshall,Bermudian,3.0
4317,69,1943,cancer,September,2012,author,Robert G. Barrett,Australian,3.0
4318,66,1946,cancer,September,2012,football player,Michel Pech,French,2.0
4319,65,1947,kidney ailments,September,2012,theatre director and actor,Dinesh Thakur,Indian,6.0
4320,55,1957,lung cancer,September,2012,journalist,Mike Baker,British,5.0
4321,78,1934,cancer,September,2012,historian and philosopher President and Rector of the Central European University,Yehuda Elkana,Israeli,10.0
4322,75,1937,lung cancer,September,2012,journalist,Henry Champ,Canadian,8.0
4323,64,1948,hypertensive crisis,September,2012,general Minister of Defence,Pavel Grachev,Russian,11.0
4324,70,1942,heart attack,September,2012,baseball player,Roberto RodrÌ_guez,Venezuelan,6.0
4325,85,1927,complications from Alzheimer's disease,September,2012,composer and lyricist,Billy Barnes,American,6.0
4326,50,1962,multiple myeloma,September,2012,politician Secretary of Public Education,Alonso Lujambio,Mexican,7.0
4327,84,1928,bladder cancer,September,2012,singer,Andy Williams,American,44.0
4328,85,1927,complications from a fall,September,2012,scientist athlete and politician Lieutenant Governor of Saskatchewan,Sylvia Fedoruk,Canadian,5.0
4329,58,1954,suspected heart attack,September,2012,golfer and director,Vance Heafner,American,1.0
4330,28,1984,injuries from a fall,September,2012,actor,Johnny Lewis,American,12.0
4331,33,1979,shooting,September,2012,journalist,Maya Nasser,Syrian,3.0
4332,83,1929,complications from a stroke,September,2012,politician U.S. Representative,Sam Steiger,American,43.0
4333,68,1944,prostate cancer,September,2012,singer,R. B. Greaves,American,7.0
4334,62,1950,complications from brain surgery,September,2012,footballer,Juan Baena,Spanish,1.0
4335,55,1957,helicopter crash,September,2012,businessman,Joe Habie,Guatemalan,2.0
4336,82,1930,pancreatic cancer,September,2012,American media executive White House communications director,Jack Koehler,German-born,1.0
4337,83,1929,coronary artery disease,September,2012,diplomat National Security Advisor,Brajesh Mishra,Indian,17.0
4338,60,1952,heart attack,September,2012,actor,Michael O'Hare,American,8.0
4339,82,1930,injuries from a fall,September,2012,actor,Ahmed Ramzy,Egyptian,1.0
4340,93,1919,cancer,September,2012,South African ballet dancer,Yvonne Mounsey,U.S.-based,13.0
4341,65,1947,cancer,September,2012,politician MP for Croydon North West,Malcolm Wicks,British,4.0
4342,52,1960,breast cancer,September,2012,singer,Raylene Rankin,Canadian,7.0
4343,56,1956,plasmacytoma,September,2012,politician President of Parliament,Boris Êprem,Croatian,10.0
4344,27,1985,heart failure,October,2012,drag queen reality show contestant,Sahara Davenport,American,16.0
4345,62,1950,heart attack,October,2012,politician member of the Nassau County New York legislature,Peter J. Schmitt,American,5.0
4346,55,1957,cancer,October,2012,Olympic silver medal-winning,Erhard Wunderlich,German,3.0
4347,83,1929,cancer,October,2012,politician President of Algeria,Chadli Bendjedid,Algerian,10.0
4348,86,1926,lung disease,October,2012,politician Governor of Uttar Pradesh,B. Satya Narayan Reddy,Indian,7.0
4349,37,1975,shooting,October,2012,drug lord,Heriberto Lazcano Lazcano,Mexican,78.0
4350,82,1930,pancreatic cancer,October,2012,film producer,Hank Moonjean,American,2.0
4351,85,1927,stroke,October,2012,voice actor,Ken Sansom,American,5.0
4352,20,1992,traffic collision,October,2012,child actress,Sammi Kane Kraft,American,8.0
4353,55,1957,brain cancer,October,2012,cinematographer,Harris Savides,American,17.0
4354,92,1920,member of the U,October,2012,politician,Sam Gibbons,American,3.0
4355,77,1935,kidney failure,October,2012,football player,Alex Karras,American,20.0
4356,63,1949,short illness,October,2012,Gaelic footballer,Seamus Bonner,Irish,5.0
4357,74,1938,pancreatic cancer,October,2012,politician MP for Middlesbrough,Sir Stuart Bell,British,12.0
4358,43,1969,melanoma,October,2012,race car driver,Paul Brown,American,2.0
4359,74,1938,natural causes,October,2012,actor,Gary Collins,American,7.0
4360,73,1939,cancer,October,2012,politician MP for Aska,Harihar Swain,Indian,6.0
4361,60,1952,prostate cancer,October,2012,cardiologist Assistant Secretary of Defense for Health Affairs,S. Ward Casscells,American,1.0
4362,89,1923,after brief illness,October,2012,publisher,Larry Sloan,American,3.0
4363,82,1930,complications of non-Hodgkin lymphoma,October,2012,politician U.S. Senator from Pennsylvania,Arlen Specter,American,103.0
4364,89,1923,heart attack,October,2012,royal King,Norodom Sihanouk,Cambodian,306.0
4365,55,1957,breast cancer,October,2012,politician Iowa State Senator,Pat Ward,American,10.0
4366,53,1959,cancer,October,2012,politician member of the New York State Assembly,James Conte,American,4.0
4367,86,1926,cardiovascular disease,October,2012,baseball player and coach,Eddie Yost,American,37.0
4368,60,1952,throat and liver cancer,October,2012,actress,Sylvia Kristel,Dutch,18.0
4369,57,1955,after long illness,October,2012,Romani politician member of the National Assembly,MihÌÁly LukÌÁcs,Hungarian,3.0
4370,83,1929,prostate cancer,October,2012,Olympic,George Mattos,American,5.0
4371,91,1921,aneurysm,October,2012,racing cyclist Giro d'Italia winner,Fiorenzo Magni,Italian,12.0
4372,68,1944,complications from cancer and diabetes,October,2012,baseball player,Dave May,American,4.0
4373,86,1926,complications of Parkinson's disease,October,2012,business executive,Raymond Watson,American,6.0
4374,72,1940,cancer,October,2012,politician MP for Calgary Centre,Harvie Andre,Canadian,1.0
4375,80,1932,dengue fever and multiple organ failure,October,2012,director filmmaker script writer and producer,Yash Chopra,Indian,43.0
4376,90,1922,1972 Democratic Party presidential nominee,October,2012,politician and USAAF pilot U.S. Representative,George McGovern,American,324.0
4377,99,1913,stroke,October,2012,fighter pilot,William Walker,British,15.0
4378,23,1989,bleeding from lacerations,October,2012,actress and model,Bidushi Dash Barde,Indian,2.0
4379,72,1940,esophageal cancer,October,2012,Ogala Lakota activist and actor,Russell Means,American,44.0
4380,62,1950,following a long illness,October,2012,footballer,Philippe Di Santo,Belgian,2.0
4381,55,1957,complications following heart surgery,October,2012,Olympic gold medal-winning,Jeff Blatnick,American,11.0
4382,73,1939,brain tumor,October,2012,musician and songwriter,Bill Dees,American,6.0
4383,84,1928,cancer,October,2012,politician Mayor of Athens,Dimitris Beis,Greek,3.0
4384,57,1955,traffic collision,October,2012,actor,Jaspal Bhatti,Indian,21.0
4385,74,1938,cancer,October,2012,footballer,John Connelly,English,6.0
4386,81,1931,heart failure,October,2012,cinematographer,Mac Ahlberg,Swedish,3.0
4387,77,1935,heart attack,October,2012,Cuban dissident,Eloy GutiÌ©rrez Menoyo,Spanish-born,6.0
4388,51,1961,suicide,October,2012,television writer/producer,Alan Kirschenbaum,American,6.0
4389,31,1981,traffic collision,October,2012,singer/rapper,Natina Reed,American,11.0
4390,90,1922,haemorrhage,October,2012,major general disaster recovery leader,Alan Stretton,Australian,20.0
